Comment,Designator,Footprint,LCSC,Quantity
74LVC2GU04,U1,SOT-23-6,C139427,1
100n,"C44,C45,C46,C47",C_0603_1608Metric,C14663,4
1u,C29,C_0603_1608Metric,C15849,1
1n,"C33,C34",C_0603_1608Metric,C1588,2
220k,"R25,R26,R27,R28,R29,R30,R31,R32,R33,R35,R36",R_0603_1608Metric,C22961,11
49.9,R34,R_0603_1608Metric,C23185,1
SW_DIP_x04,SW1,SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm,C3293144,1
Conn_Coaxial,"J6,J7,J8,J9",SMA_BAT_Wireless_BWSMA-KWE-Z001,C496551,4
"74HC390D,653",U2,SOIC-16_3.9x9.9mm_P1.27mm,C5440882,1
"74HC85D,653","U3,U4",SOIC-16_3.9x9.9mm_P1.27mm,C5953,2
10Meg,R7,R_0603_1608Metric,C7250,1
Conn_01x02,J2,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_01x02,J3,PinSocket_1x02_P2.54mm_Vertical,,1
