Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C29,1u,C_0603_1608Metric,166.497,-53.594,-90.0,top
C33,1n,C_0603_1608Metric,159.858,-57.861,90.0,top
C34,1n,C_0603_1608Metric,161.4678,-61.0065,-90.0,top
C44,100n,C_0603_1608Metric,156.464,-57.8612,90.0,top
C45,100n,C_0603_1608Metric,156.2608,-53.7972,0.0,top
C46,100n,C_0603_1608Metric,153.0579,-41.3766,180.0,top
C47,100n,C_0603_1608Metric,145.0188,-41.402,180.0,top
J2,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,169.1894,-53.467,0.0,top
J3,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,152.0136,-65.1768,90.0,top
J6,Conn_Coaxial,SMA_BAT_Wireless_BWSMA-KWE-Z001,166.9408,-61.0,-90.0,top
J7,Conn_Coaxial,SMA_BAT_Wireless_BWSMA-KWE-Z001,133.973,-61.0,90.0,top
J8,Conn_Coaxial,SMA_BAT_Wireless_BWSMA-KWE-Z001,133.973,-46.0,90.0,top
J9,Conn_Coaxial,SMA_BAT_Wireless_BWSMA-KWE-Z001,166.9408,-46.0,-90.0,top
R25,220k,R_0603_1608Metric,154.6352,-61.0065,90.0,top
R26,220k,R_0603_1608Metric,161.0828,-41.3766,180.0,top
R27,220k,R_0603_1608Metric,156.2608,-55.3466,0.0,top
R28,220k,R_0603_1608Metric,144.5387,-56.9468,90.0,top
R29,220k,R_0603_1608Metric,142.789275,-56.9468,90.0,top
R30,220k,R_0603_1608Metric,139.290425,-56.9468,90.0,top
R31,220k,R_0603_1608Metric,141.03985,-56.9468,90.0,top
R32,220k,R_0603_1608Metric,146.288125,-56.9468,90.0,top
R33,220k,R_0603_1608Metric,148.03755,-56.9468,90.0,top
R34,49.9,R_0603_1608Metric,158.161,-57.861,-90.0,top
R35,220k,R_0603_1608Metric,149.786975,-56.9468,90.0,top
R36,220k,R_0603_1608Metric,151.5364,-56.9468,90.0,top
R7,10Meg,R_0603_1608Metric,159.858,-61.0065,90.0,top
SW1,SW_DIP_x04,SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm,143.6592,-62.1792,180.0,top
U1,74LVC2GU04,SOT-23-6,157.2514,-61.5765,90.0,top
U2,"74HC390D,653",SOIC-16_3.9x9.9mm_P1.27mm,158.8628,-47.4726,180.0,top
U3,"74HC85D,653",SOIC-16_3.9x9.9mm_P1.27mm,150.8379,-47.4726,0.0,top
U4,"74HC85D,653",SOIC-16_3.9x9.9mm_P1.27mm,142.7988,-47.4726,0.0,top
